[2019d3a] 2026-08-10 19:25:12 +0700 | Its-GiaHuy | modify report
[b3f70ea] 2026-08-10 19:24:54 +0700 | Its-GiaHuy | final
[9c94f6c] 2026-08-10 13:52:09 +0700 | Its-GiaHuy | multi browser report
[4c3a229] 2026-08-10 12:10:38 +0700 | Its-GiaHuy | fix paralell
[1dd49c8] 2026-08-10 11:47:26 +0700 | Its-GiaHuy | add report
[d9d7fc9] 2026-08-10 11:47:09 +0700 | Its-GiaHuy | add report
[15ff540] 2026-08-09 20:59:08 +0700 | Its-GiaHuy | fix: by pass ui test
[e9b3f28] 2026-08-09 20:35:26 +0700 | Its-GiaHuy | fix: tsconfig
[0e88c08] 2026-08-09 19:51:52 +0700 | Its-GiaHuy | fix: env and data setup
[50ae442] 2026-08-09 19:45:37 +0700 | Its-GiaHuy | fix FR-16 spect
[0f0172d] 2026-08-08 16:14:22 +0700 | Its-GiaHuy | fix: FR-16.spect ivalid import
[1ac09ac] 2026-08-08 15:55:09 +0700 | Its-GiaHuy | test(e2e): update FR-02 login locators to match frontend DOM
[089cffb] 2026-08-06 23:00:34 +0700 | Its-GiaHuy | test: add login step to FR11 test script
[85dec2b] 2026-08-04 15:38:21 +0700 | Its-GiaHuy | test(e2e): fix FR-16 script execution and playwright local connection
[5b1143b] 2026-08-04 15:17:40 +0700 | Its-GiaHuy | fix invalid path in test script
[b683911] 2026-08-04 14:45:23 +0700 | Its-GiaHuy | fix: wrong relative path
[e660f5e] 2026-08-04 14:42:03 +0700 | Its-GiaHuy | feat: test script
[3263bae] 2026-08-04 14:40:34 +0700 | Its-GiaHuy | agent: skill for homework
[c8addb0] 2026-08-04 12:13:08 +0700 | Its-GiaHuy | init: start homeword 04
